BiLSTM,StackLSTM ,LSTM,TRUE
17.903221,18.675734,18.176104,13.44827586
10.305903,10.131855,12.249216,7.068965517
5.1595225,6.107042,6.3423686,4.224137931
3.2175374,4.6364884,5.264733,4.051724138
5.464118,6.8800063,8.526887,4.310344828
4.5859556,5.739751,7.7117968,10
11.278243,12.720557,14.809301,7.155172414
7.411755,7.539187,9.686506,6.810344828
7.2771897,8.318335,10.37195,11.37931034
12.796977,13.862799,15.950535,17.32758621
18.256527,18.898092,21.161491,17.67241379
17.085587,18.377254,19.50994,34.65517241
34.353607,33.87103,37.350506,54.39655172
46.40871,47.27375,50.02343,51.29310345
48.137943,48.96993,49.916878,57.06896552
53.90928,57.47996,56.452957,63.27586207
59.60094,63.436314,62.30495,63.62068966
59.83536,62.302658,61.974674,58.36206897
54.061665,54.778496,56.06432,54.22413793
50.71465,51.034016,52.739906,51.20689655
47.92524,47.913864,50.00307,45
40.79716,39.75295,42.36544,43.18965517
38.844593,38.847237,41.422028,40.94827586
35.415756,35.255,38.400913,33.36206897
27.10899,25.783638,28.396423,25.0862069
18.430973,17.188656,18.936111,16.20689655
9.826047,9.421678,10.347075,9.137931034
3.629582,3.3278368,4.9559484,3.793103448
2.3864698,3.7632473,5.2555094,4.137931034
7.872817,10.396713,12.593081,9.224137931
13.072745,15.773517,16.974188,15.60344828
20.845491,23.24237,24.379234,24.82758621
27.540987,29.105629,30.71368,29.65517241
32.29065,33.66351,34.821835,32.75862069
33.735252,34.492966,35.959324,37.06896552
39.85328,40.966072,41.94295,45.51724138
47.760666,50.152016,50.456615,51.98275862
52.881783,54.86317,54.918625,60.86206897
53.67873,56.19565,56.502995,42.32758621
42.223774,42.774307,41.04369,23.36206897
24.681793,24.96959,23.935362,6.982758621
5.8069053,6.3587556,8.012485,6.293103448
6.119367,5.580734,8.043407,10.60344828
12.775617,14.473986,15.6067915,22.4137931
25.611305,26.81699,28.010798,25
27.048168,28.344757,28.756866,16.46551724
18.498764,18.007584,18.444468,12.32758621
13.209567,12.52142,15.402798,15
18.547468,20.456396,20.807173,36.03448276
37.054173,37.42453,39.578823,24.82758621
25.172134,25.196844,25.873295,9.655172414
8.786681,8.26813,9.278813,3.793103448
6.981878,8.696294,10.945789,10.43103448
13.786942,14.512487,17.12391,16.98275862
20.136282,21.566956,22.882769,21.98275862
26.11639,27.447195,28.264309,28.70689655
31.91034,32.764557,34.46461,28.53448276
29.264223,30.047234,31.088978,43.44827586
39.286263,39.35282,42.402832,48.01724138
45.531784,47.61987,47.749252,45.94827586
42.964542,43.725212,44.496384,49.13793103
47.96514,50.426754,49.76901,37.93103448
37.177795,36.919384,36.458397,34.22413793
31.077194,30.243809,33.277874,48.27586207
43.546196,44.92481,47.359905,35.86206897
34.59969,34.085323,34.22641,30.34482759
27.297947,26.018518,29.149681,29.22413793
25.48115,26.344328,28.016954,29.82758621
26.11172,27.792023,28.750818,22.93103448
19.234882,18.02439,20.17891,20.0862069
