IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,Residual,Pre
0.002754332,-0.000662324,-0.6611934,-0.14923333,-0.02512547,-0.014389568,-0.003011781,-0.016256358,-0.025359767,-0.023979511,0.051428158,-0.009124692,-0.029885879,0.022203103,1.3220258,0.440189313
-0.028583292,-0.007340498,-0.6985773,-0.16365132,-0.011525973,-0.009808102,-0.004731953,-0.014184387,-0.024675466,-0.023795312,0.051398512,-0.009249841,-0.029872878,0.022186566,1.3220305,0.369619257
0.006037803,-0.009011206,-0.4674406,-0.12973945,0.001831841,-0.005320262,-0.006371215,-0.012075449,-0.023986405,-0.023610022,0.051367506,-0.009374915,-0.029859848,0.02217005,1.3220354,0.686653229
-0.006415733,-0.000212627,-0.122145616,-0.049485218,0.014812172,-0.001241347,-0.00785121,-0.009937033,-0.023293557,-0.023423567,0.05133513,-0.009499902,-0.029846778,0.022153523,1.3220402,1.126988437
0.014690395,0.009234636,0.24253753,0.053153664,0.02792876,0.002360678,-0.009095198,-0.007777947,-0.022597797,-0.023235932,0.051301416,-0.009624817,-0.02983368,0.022136996,1.322045,1.643223705
0.003763526,0.003620138,0.59030503,0.13167349,0.040038746,0.005368715,-0.010029807,-0.005631795,-0.021899994,-0.023047043,0.051266335,-0.009749658,-0.029820547,0.022120493,1.3220497,2.070027329
0.011033025,-0.001436216,0.7611969,0.16049112,0.046443593,0.007711768,-0.01059946,-0.00349525,-0.02120101,-0.022856854,0.05122987,-0.00987442,-0.029807381,0.022103976,1.3220545,2.282994161
0.015300165,-0.000613642,0.6908405,0.15062505,0.045442935,0.009168198,-0.010774717,-0.001374203,-0.020501493,-0.02266532,0.05119204,-0.009999096,-0.029794179,0.022087477,1.3220593,2.210993016
0.001186834,0.001246575,0.41917607,0.13140501,0.036925703,0.009560924,-0.010540108,0.000718263,-0.019802207,-0.022472378,0.05115285,-0.010123702,-0.029780945,0.02207098,1.3220642,1.902788069
-0.000962308,-0.001583314,0.11382238,0.06926397,0.02341335,0.008941271,-0.009907614,0.002796173,-0.019103745,-0.022278003,0.051112294,-0.01024823,-0.029767679,0.022054486,1.3220689,1.519621931
