IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,IMF1-13,IMF1-R
0.065794036,-0.02324708,-0.04195404,-0.30703503,0.36157727,-0.15752064,-1.2343445,-0.2532584,0.0703966,0.6113845,-0.36763164,-0.30249253,0.51584464,1.9463457,0.883858886,-1.062486814
0.007666054,-0.019154511,-0.07896832,-0.13153209,0.5540519,-0.08499167,-1.2944402,-0.2751085,0.06269306,0.6114086,-0.36907426,-0.3025566,0.5161327,1.9463227,1.142448863,-0.803873837
-0.039270345,-0.016528022,-0.11086866,0.08750228,0.71128947,-0.011829315,-1.3492024,-0.29622802,0.05505389,0.6113457,-0.3705064,-0.3026188,0.5164212,1.9462998,1.430860378,-0.515439422
0.14517781,-0.019841824,0.029971804,0.19628522,0.8228066,0.06253696,-1.3986611,-0.31660464,0.047486898,0.61119586,-0.37193054,-0.3026791,0.51671004,1.9462768,1.968730788,0.022453988
0.053784773,-0.009089191,0.09557709,0.21310139,0.88262725,0.13787748,-1.4430841,-0.33638275,0.03999939,0.6109599,-0.37334442,-0.30273747,0.5169992,1.9462538,2.032542342,0.086288542
-0.24510622,-0.003932973,0.13412496,0.19491059,0.8687301,0.2142282,-1.4824283,-0.35616598,0.032599162,0.6106379,-0.37474805,-0.30279395,0.5172887,1.9462308,1.753574939,-0.192655861
-0.31422183,-0.016030338,-0.03671845,0.13376683,0.77254397,0.29091337,-1.5167531,-0.3751722,0.025293272,0.6102299,-0.3761415,-0.30284858,0.5175786,1.9462079,1.358647844,-0.587560056
0.3092862,-0.03699785,-0.12637834,0.028795997,0.6163805,0.3644249,-1.5461198,-0.39340845,0.018089147,0.6097365,-0.3775249,-0.30290127,0.5178689,1.9461849,1.627436434,-0.318748466
0.37776557,-0.03118386,-0.07097265,-0.05485187,0.42985803,0.42930287,-1.5705827,-0.4108805,0.010992982,0.6091581,-0.37889835,-0.30295205,0.51815945,1.9461617,1.501076722,-0.445084978
-0.41211098,0.013912312,-0.000546593,-0.086170375,0.23543793,0.48104277,-1.5901544,-0.42759284,0.004011704,0.6084952,-0.38026175,-0.30300096,0.51845044,1.946139,0.607651458,-1.338487542
0.12700698,0.008183584,-0.007071313,-0.10173583,0.040668312,0.5189389,-1.6047344,-0.44354838,-0.002848246,0.60774857,-0.38161534,-0.3030479,0.5187418,1.946116,0.922802737,-1.023313263
