IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,
-0.047274326,-0.002709791,-0.385448527,-0.095599853,0.159244406,-0.00169861,-0.015542393,0.00901954,0.014007383,0.007532357,0.015235973,-0.013618148,0.054580296,0.836271693,18
-0.054808909,-0.005327893,-0.280968022,-0.069547741,0.149805291,-0.003527227,-0.016038689,0.009256095,0.01423511,0.00760626,0.015178303,-0.013655213,0.054514114,0.83627852,19
0.010081176,0.002819837,-0.156351379,-0.018514922,0.131669384,-0.005119987,-0.016381689,0.009499373,0.014457628,0.007679244,0.015120147,-0.013692079,0.054447923,0.836285345,20
0.007931734,0.000372011,0.080791235,0.034361574,0.107281137,-0.006343743,-0.016573772,0.009747043,0.014674866,0.00775127,0.015061503,-0.013728747,0.054381723,0.836292167,21
0.048168537,0.003620177,0.257770428,0.069526116,0.079144663,-0.007159036,-0.016628976,0.009997372,0.01488676,0.007822307,0.01500237,-0.013765217,0.054315514,0.836298986,22
0.056875836,0.008150134,0.383061744,0.088147289,0.049076394,-0.007683594,-0.016558232,0.01024851,0.015093243,0.007892324,0.014942745,-0.01380149,0.054249296,0.836305803,23
0.062527517,0.01250015,0.407230722,0.086985387,0.01872885,-0.007903726,-0.016363745,0.010498567,0.015294236,0.007961295,0.014882626,-0.013837564,0.054183068,0.836312616,24
0.058904903,0.014504977,0.311559682,0.065409431,-0.011205883,-0.007784521,-0.016037797,0.010745537,0.01548965,0.008029191,0.014822013,-0.013873442,0.054116833,0.836319427,25
-0.001840649,0.004182281,0.162061341,0.028085554,-0.041576031,-0.007329661,-0.015573333,0.010986515,0.015679394,0.008095987,0.014760902,-0.013909122,0.054050588,0.836326236,26
-0.043472201,-0.007283076,-0.034900514,-0.015595869,-0.072423959,-0.00666739,-0.014973215,0.011219133,0.015863377,0.008161651,0.014699292,-0.013944605,0.053984335,0.836333041,27
-0.060311983,-0.00796049,-0.246472802,-0.05248251,-0.100094278,-0.006057543,-0.014244353,0.011441061,0.016041538,0.008226152,0.014637182,-0.013979892,0.053918074,0.836339844,28
-0.097428918,-0.008067079,-0.372610582,-0.078775251,-0.118932358,-0.005707854,-0.013389421,0.011650158,0.016213809,0.008289459,0.014574569,-0.014014981,0.053851804,0.836346644,29
-0.077409054,-0.007604552,-0.422590459,-0.091743733,-0.123716461,-0.005704776,-0.012407593,0.011844435,0.016380103,0.008351543,0.014511452,-0.014049874,0.053785526,0.836353441,30
-0.051237626,-0.009565923,-0.359126759,-0.077463804,-0.113751206,-0.005975856,-0.0112963,0.012022062,0.016540302,0.008412376,0.01444783,-0.01408457,0.053719239,0.836360235,31
-0.048827144,-0.006526533,-0.203317721,-0.040328193,-0.091273476,-0.006303788,-0.010055758,0.012181818,0.016694265,0.008471931,0.014383699,-0.01411907,0.053652945,0.836367026,32
0.009438198,-0.001980417,-0.002030071,-0.009051339,-0.06197439,-0.006527361,-0.008696483,0.012323698,0.016841841,0.008530181,0.014319059,-0.014153373,0.053586642,0.836373815,33
0.068940939,0.004055862,0.203694414,0.033104627,-0.033043439,-0.00649949,-0.007238119,0.012447858,0.016982889,0.008587099,0.014253907,-0.01418748,0.053520332,0.8363806,34
0.104610415,0.006545658,0.361960163,0.074568778,-0.007006734,-0.006102349,-0.005698055,0.012553985,0.017117236,0.008642657,0.014188242,-0.014221391,0.053454014,0.836387383,35
0.103749076,0.008270411,0.419587575,0.101764702,0.016795641,-0.005312365,-0.004087146,0.012641753,0.017244722,0.008696823,0.014122062,-0.014255106,0.053387688,0.836394163,36
0.100459612,0.008607681,0.360426396,0.094570353,0.0390878,-0.004052693,-0.002413711,0.012710747,0.017365214,0.008749565,0.014055366,-0.014288626,0.053321354,0.83640094,37
0.04555778,0.004557151,0.225010416,0.05426648,0.058220463,-0.002289859,-0.000691443,0.012760683,0.017478553,0.008800845,0.013988153,-0.014321949,0.053255013,0.836407714,38
-0.00137956,0.007956707,0.006362496,0.008815495,0.072937862,-0.000159342,0.001070619,0.012792107,0.017584497,0.008850624,0.01392042,-0.014355077,0.053188665,0.836414485,39
-0.068463875,0.004898616,-0.178948944,-0.042398675,0.08256399,0.002092212,0.002860934,0.012806365,0.017682792,0.008898865,0.013852167,-0.01438801,0.053122309,0.836421254,40
-0.109759662,-0.000641268,-0.330680567,-0.084780394,0.086653042,0.004172583,0.004665601,0.012805321,0.017773206,0.008945528,0.013783393,-0.014420748,0.053055946,0.836428019,41
-0.149580314,-0.010786586,-0.380231488,-0.099059427,0.084950692,0.005907939,0.006476307,0.012791593,0.017855545,0.008990578,0.013714096,-0.014453291,0.052989575,0.836434781,42
-0.15846422,-0.015869196,-0.331528192,-0.089231857,0.076443507,0.007108998,0.008286217,0.012767709,0.017929683,0.009033978,0.013644273,-0.01448564,0.052923198,0.836441541,43
-0.085677936,-0.009947198,-0.226263058,-0.059294534,0.060318561,0.007608871,0.01008671,0.012736144,0.017995503,0.009075695,0.013573924,-0.014517793,0.052856814,0.836448297,44
-4.91E-05,-0.000686824,-0.072790554,-0.001409216,0.03770869,0.007292539,0.01186814,0.012699,0.018052866,0.009115697,0.013503047,-0.014549752,0.052790423,0.836455051,45
0.078352286,0.003314239,0.112853367,0.063933011,0.012576921,0.006409617,0.013611194,0.012657853,0.018101605,0.009153957,0.01343164,-0.014581516,0.052724025,0.836461801,46
0.158186641,0.003974826,0.263782582,0.100682074,-0.012107474,0.005379399,0.015283023,0.012614187,0.018141507,0.00919045,0.0133597,-0.014613085,0.05265762,0.836468549,47
0.193492803,0.002554149,0.345743749,0.105893649,-0.033797699,0.004595415,0.016841807,0.012569332,0.018172376,0.009225151,0.013287225,-0.014644461,0.052591209,0.836475293,48
0.170820577,-0.002689604,0.343488294,0.092199891,-0.050886944,0.004299624,0.018246351,0.012524298,0.018194089,0.009258026,0.013214214,-0.014675642,0.052524792,0.836482035,49
