IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
0.167052017,0.030009518,0.11649742,0.041232731,0.071050876,-0.007077999,-0.024447931,-0.052295022,-0.032486926,-0.033542394,0.04674705,-0.000253991,-0.039412148,1.355926799
0.328506346,0.064601947,0.317246668,0.086741347,0.081528202,-0.005203532,-0.02475625,-0.05174022,-0.032521942,-0.0332653,0.046735741,-0.000381363,-0.039423125,1.35593148
0.39662143,0.089208197,0.48249625,0.116922088,0.084163986,-0.002748542,-0.024746539,-0.051117607,-0.032528907,-0.032986973,0.046723361,-0.000508802,-0.039434106,1.355936164
0.454141031,0.086659978,0.498945506,0.115028672,0.077544117,0.000178436,-0.02442575,-0.050426099,-0.032507758,-0.032707495,0.046709912,-0.000636305,-0.039445094,1.35594085
0.325417721,0.066615341,0.411302713,0.087956194,0.062081211,0.003528221,-0.023773528,-0.049663477,-0.03245843,-0.032426941,0.046695396,-0.000763873,-0.039456087,1.355945539
0.198272648,0.036212836,0.221042679,0.046076146,0.041235342,0.007014808,-0.022771317,-0.048828402,-0.032380814,-0.032145378,0.046679814,-0.000891507,-0.039467085,1.35595023
0.064183755,0.010807082,0.016593622,-0.002935563,0.018375859,0.010329507,-0.021417702,-0.047919666,-0.032274834,-0.031862859,0.046663168,-0.001019204,-0.039478089,1.355954924
0.014219902,-0.013587541,-0.232161009,-0.052724298,-0.003659603,0.013329427,-0.019732508,-0.046933463,-0.032140501,-0.031579421,0.04664546,-0.001146966,-0.039489098,1.35595962
-0.05740401,-0.03894755,-0.429680017,-0.091475654,-0.022214903,0.015813652,-0.017769619,-0.045864954,-0.031977962,-0.031295087,0.04662669,-0.001274792,-0.039500113,1.355964319
-0.202576977,-0.065087331,-0.545280681,-0.100943898,-0.035198561,0.017557276,-0.015626236,-0.044708357,-0.031787426,-0.031009876,0.046606861,-0.001402682,-0.039511133,1.35596902
-0.432923965,-0.073399436,-0.509495878,-0.086376931,-0.042661495,0.018499908,-0.013398175,-0.043457829,-0.031569303,-0.030723797,0.046585972,-0.001530636,-0.039522158,1.355973724
-0.161652906,-0.057131033,-0.352151311,-0.07387463,-0.045262715,0.018765717,-0.011174578,-0.042108172,-0.031324138,-0.030436852,0.046564027,-0.001658653,-0.039533189,1.355978431
-0.048646415,-0.014873077,-0.037967863,-0.047804019,-0.043524012,0.018499086,-0.00902074,-0.040654611,-0.031052529,-0.030149031,0.046541028,-0.001786733,-0.039544225,1.35598314
0.185466418,0.024343026,0.273995316,-0.006888533,-0.03802858,0.017781272,-0.00699543,-0.039092632,-0.030755216,-0.029860325,0.046516976,-0.001914876,-0.039555266,1.355987851
0.293736653,0.051765197,0.492053604,0.036709616,-0.02927945,0.016711065,-0.005148574,-0.037419393,-0.030433039,-0.029570722,0.046491874,-0.002043082,-0.039566313,1.355992565
0.311246167,0.067714616,0.587856437,0.075489844,-0.020038211,0.015529627,-0.003512379,-0.035633301,-0.030086871,-0.029280219,0.046465722,-0.00217135,-0.039577365,1.355997282
0.242270733,0.053409138,0.50281495,0.087305721,-0.013407235,0.014599409,-0.002103867,-0.033734869,-0.029717594,-0.028988809,0.046438524,-0.002299682,-0.039588422,1.356002001
0.069076586,0.024253,0.338567152,0.067703578,-0.010567978,0.014250191,-0.000923817,-0.031725431,-0.029326233,-0.028696491,0.04641028,-0.002428075,-0.039599484,1.356006723
-0.021189338,-0.004330445,0.066492446,0.030221357,-0.009152992,0.014622251,3.64E-05,-0.02960791,-0.02891389,-0.028403257,0.04638099,-0.002556532,-0.039610551,1.356011447
-0.120138606,-0.013348702,-0.208208287,-0.005772946,-0.006146408,0.015735358,0.000796255,-0.027386145,-0.028481575,-0.028109098,0.046350654,-0.002685051,-0.039621624,1.356016174
