IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
0.001536257,-0.001121769,-0.054195704,-0.01301119,0.01345125,0.000478716,-0.001462285,-0.000150478,0.010346325,-0.000330597,0.002619472,0.016822509,0.047497663,0.37851983
0.005660462,0.001741326,-0.123030719,-0.045576666,-0.009705201,0.000196163,-0.001775905,-0.000656749,0.010207094,-0.000353315,0.002540971,0.016727425,0.047498644,0.378526469
0.002611909,-0.002519256,-0.159584782,-0.060483455,-0.029636017,-9.10E-06,-0.002039886,-0.001151042,0.010060923,-0.000376658,0.002462437,0.016632225,0.047499599,0.378533105
-0.036330447,-0.006386993,-0.167371351,-0.062149983,-0.045278995,-5.71E-05,-0.002262208,-0.001631273,0.009907947,-0.00040063,0.002383871,0.016536908,0.04750053,0.378539738
0.020059068,-0.004074554,-0.131872184,-0.049690793,-0.056110622,0.000119977,-0.00245333,-0.00209519,0.009748303,-0.000425234,0.002305278,0.016441475,0.047501437,0.378546368
-0.013456485,-0.000692101,-0.055071269,-0.027964261,-0.06294755,0.000539967,-0.002627583,-0.002540256,0.009582113,-0.000450477,0.002226661,0.016345927,0.047502319,0.378552994
-0.004646866,0.003071327,0.028553268,0.002355808,-0.067113607,0.001148486,-0.002798852,-0.002963794,0.009409509,-0.000476363,0.002148024,0.016250264,0.047503177,0.378559617
0.030440856,0.004086223,0.110158951,0.028772118,-0.067982908,0.001851403,-0.002984647,-0.003363958,0.009230751,-0.000502895,0.002069371,0.016154488,0.047504011,0.378566237
0.001362673,0.001683554,0.166754319,0.039803074,-0.064845819,0.002538294,-0.003199344,-0.00373987,0.009046217,-0.000530077,0.001990706,0.016058599,0.04750482,0.378572853
0.006231732,-0.000618302,0.178504142,0.043485631,-0.057438424,0.003120953,-0.003452807,-0.004090969,0.008856256,-0.00055791,0.001912032,0.015962597,0.047505605,0.378579467
0.013721335,0.002228505,0.124073617,0.040099571,-0.046391538,0.003568728,-0.003750445,-0.004416835,0.008661183,-0.000586398,0.001833352,0.015866484,0.047506365,0.378586077
-0.002822571,0.00031806,0.051318366,0.025447205,-0.032713155,0.003790015,-0.004091101,-0.004717294,0.008461301,-0.000615541,0.00175467,0.015770259,0.047507102,0.378592683
-0.014025274,-0.002601976,-0.034582411,-0.000608227,-0.017493357,0.003707174,-0.004472447,-0.004992076,0.008256923,-0.000645343,0.00167599,0.015673924,0.047507814,0.378599287
-0.020551788,-0.001986628,-0.121068092,-0.025793965,-0.00146915,0.00333943,-0.004890427,-0.005241122,0.008048363,-0.000675803,0.001597314,0.015577479,0.047508502,0.378605887
-0.010710555,-0.005068241,-0.163314692,-0.039834333,0.014684154,0.00279374,-0.005335527,-0.005464777,0.007835926,-0.000706916,0.001518645,0.015480924,0.047509166,0.378612484
-0.035086636,-0.006431788,-0.164399899,-0.041530669,0.030917349,0.002158093,-0.005797231,-0.005663595,0.007619915,-0.000738673,0.001439989,0.015384262,0.047509806,0.378619078
-0.015091081,-0.000545523,-0.143073802,-0.033187001,0.046103341,0.001483291,-0.006265595,-0.005838123,0.007400629,-0.000771063,0.001361346,0.015287491,0.047510421,0.378625668
0.003599545,-0.002552445,-0.054323288,-0.017743543,0.058965035,0.000783352,-0.006730139,-0.005989435,0.007178391,-0.000804076,0.001282721,0.015190613,0.047511013,0.378632255
