IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
-0.060253352,-0.010450477,-0.34413397,-0.02023979,-0.03600814,-0.025847465,0.013107032,0.0072278953,-0.02137387,-0.024130447,0.045720097,-0.004721252,-0.039646376,1.3561305
-0.19628476,-0.02822118,-0.46292827,-0.053088788,-0.04063012,-0.030874696,0.0150204925,0.009929312,-0.020742457,-0.023832185,0.045676965,-0.0048535923,-0.03965599,1.3561355
-0.3160322,-0.03949682,-0.48422104,-0.06462495,-0.0370035,-0.034553956,0.017058685,0.012585656,-0.02010185,-0.023533281,0.045632914,-0.0049860026,-0.039665617,1.3561406
-0.30335695,-0.03068175,-0.42976448,-0.049326863,-0.0267552,-0.037236433,0.019176995,0.015187286,-0.019448798,-0.02323374,0.045587875,-0.005118494,-0.03967524,1.3561456
-0.13093407,-0.005828946,-0.24756181,-0.023219932,-0.013032854,-0.03908057,0.021312496,0.01772647,-0.018785933,-0.02293352,0.04554192,-0.0052510668,-0.03968487,1.3561507
0.076545805,0.019101424,0.00086997,0.009782275,0.000121264835,-0.040214937,0.023408467,0.02019718,-0.018115226,-0.022632655,0.045495037,-0.0053837323,-0.039694488,1.3561558
0.23048538,0.036174037,0.26064736,0.033478074,0.009770409,-0.040812057,0.025424795,0.022593537,-0.01743713,-0.022331128,0.045447234,-0.005516445,-0.03970412,1.3561609
0.32104713,0.04603194,0.459385,0.04347304,0.015802778,-0.04091311,0.027316052,0.024910228,-0.016751915,-0.022028878,0.045398492,-0.0056492495,-0.03971375,1.3561661
0.37224793,0.050581887,0.48128787,0.062305357,0.019381745,-0.040342897,0.029010033,0.027141912,-0.016114896,-0.021725949,0.045348827,-0.005782136,-0.039723385,1.3561711
0.26460952,0.04349796,0.40920493,0.07303952,0.021345334,-0.038779434,0.030479278,0.029283373,-0.0154772615,-0.021422314,0.045298245,-0.0059150923,-0.03973302,1.3561763
0.14460604,0.017213188,0.24641466,0.050083265,0.020409862,-0.036046848,0.03171093,0.031329166,-0.014833612,-0.021117972,0.045246713,-0.0060481178,-0.039742656,1.3561813
0.017713936,-0.001155607,0.04243115,0.01070145,0.016122531,-0.032143902,0.032716215,0.03327436,-0.014184627,-0.02081297,0.045194242,-0.0061812364,-0.039752297,1.3561864
-0.072871365,-0.013169325,-0.18197879,-0.03124301,0.009987334,-0.027128782,0.033523504,0.035114605,-0.013531026,-0.020507228,0.045140844,-0.006314425,-0.03976194,1.3561916
-0.17260776,-0.028063776,-0.36507273,-0.0631909,0.0042301062,-0.02103847,0.034171168,0.036847174,-0.01287386,-0.02020246,0.045086507,-0.006447683,-0.03977158,1.3561966
-0.28841576,-0.047639,-0.49472636,-0.067954555,0.00060882384,-0.014051863,0.034695845,0.038470473,-0.01221406,-0.019899381,0.045031216,-0.0065810224,-0.03978122,1.3562018
-0.31965664,-0.052680783,-0.45415318,-0.056423992,-0.0020637573,-0.006563353,0.0351081,0.039983936,-0.011552862,-0.019595599,0.044975013,-0.006714466,-0.03979087,1.3562068
-0.14319262,-0.034161545,-0.3419673,-0.029883893,-0.006244712,0.0009466863,0.035404835,0.0413882,-0.010891361,-0.019291066,0.044917855,-0.006847945,-0.03980052,1.356212
-0.03257609,0.0020602269,-0.042203676,-0.00033093698,-0.01256349,0.008250668,0.035560332,0.042684793,-0.010230815,-0.018985776,0.04485976,-0.0069815163,-0.03981017,1.3562171
0.18399183,0.025783204,0.21775025,0.02445634,-0.019186998,0.015184019,0.035530385,0.04387478,-0.009572321,-0.018679736,0.044800736,-0.007115146,-0.039819825,1.3562222
0.2735331,0.046736624,0.4178826,0.05376021,-0.023418868,0.02187123,0.035264175,0.044959236,-0.008917182,-0.018372905,0.04474076,-0.007248892,-0.039829485,1.3562274
0.3310006,0.0566286,0.49823853,0.07853602,-0.024565838,0.028510647,0.034706112,0.045940112,-0.0082664015,-0.018065324,0.044679847,-0.0073826844,-0.039839137,1.3562324
0.26171243,0.055415414,0.4923086,0.077082895,-0.0231484,0.035043247,0.033821058,0.046819676,-0.007621098,-0.017756967,0.04461802,-0.0075165695,-0.039848793,1.3562375
0.18821047,0.027945152,0.31559083,0.038004834,-0.020422734,0.04116904,0.03259646,0.04760024,-0.0069822506,-0.017447913,0.044555254,-0.007650501,-0.03985846,1.3562428
0.05005074,0.016017655,0.112105764,-0.0011696056,-0.017688598,0.04654532,0.031041812,0.0482843,-0.006350674,-0.017138181,0.044491556,-0.007784508,-0.03986814,1.3562478
0.0130155515,0.005155409,-0.16857223,-0.026547115,-0.014918906,0.05087399,0.02917658,0.04887417,-0.005727349,-0.016827812,0.044426937,-0.007918585,-0.039877802,1.3562529
-0.07057579,-0.010532037,-0.37795955,-0.043425687,-0.011011256,0.053922378,0.026990872,0.04937234,-0.0051129493,-0.016516851,0.044361398,-0.008052766,-0.039887477,1.356258
-0.20229907,-0.031145077,-0.49986982,-0.0552772,-0.003964958,0.055432975,0.0244674,0.04978212,-0.004508199,-0.01620534,0.044294946,-0.0081869885,-0.03989716,1.3562632
-0.28175917,-0.04736816,-0.5172781,-0.06701531,0.0074686203,0.055194717,0.02159668,0.050106127,-0.003913773,-0.015893344,0.04422758,-0.008321309,-0.039906833,1.3562684
-0.27804363,-0.03979978,-0.4370895,-0.06264031,0.022950443,0.05308695,0.018377211,0.05034696,-0.0033301613,-0.015580936,0.04415932,-0.008455699,-0.039916508,1.3562734
-0.05390373,-0.012250589,-0.2283602,-0.026719073,0.040124137,0.049120877,0.014828519,0.05050731,-0.0027579463,-0.015268146,0.044086397,-0.008590153,-0.039926186,1.3562787
0.153851,0.009800521,0.0730634,0.020098563,0.05717255,0.04327251,0.010979239,0.05058962,-0.0021978505,-0.014955033,0.044010486,-0.008724677,-0.039935865,1.3562838
0.24063157,0.026756594,0.31909972,0.063820735,0.0714605,0.03538095,0.00687296,0.05059654,-0.0016504799,-0.014641606,0.04393364,-0.008859277,-0.039945547,1.3562889
0.34024262,0.028530741,0.4482126,0.08268809,0.078384265,0.026497522,0.0025616784,0.05053033,-0.0011163707,-0.014327867,0.043855835,-0.008993946,-0.03995523,1.356294
0.27170798,0.02991397,0.5089246,0.07460483,0.0750264,0.017319452,-0.0018859821,0.050392695,-0.0005960586,-0.014013839,0.043777067,-0.009128685,-0.03996491,1.356299
0.18355124,0.017995471,0.37455067,0.04724771,0.06203416,0.008382041,-0.0063868505,0.050184064,-8.989353e-05,-0.0136995325,0.043697357,-0.009263505,-0.039974596,1.3563043
0.09729226,0.0038269022,0.16697147,0.015036283,0.042142816,-6.620103e-05,-0.010858574,0.04990386,0.00040163525,-0.013384905,0.043616693,-0.00939839,-0.039984282,1.3563095
-0.027865335,0.003453293,-0.0515694,-0.0008792771,0.019480733,-0.008161318,-0.015230515,0.04955197,0.00087808486,-0.013070006,0.04353509,-0.0095333485,-0.039993968,1.3563147
-0.10002404,0.0039403387,-0.25761694,-0.017703915,-0.0033874656,-0.016147416,-0.019442236,0.049124744,0.0013389193,-0.012754803,0.04345253,-0.009668366,-0.040003657,1.3563198
-0.20707628,-0.0052641104,-0.4007325,-0.042384245,-0.024338065,-0.024043545,-0.023455078,0.048626646,0.0017838123,-0.012439329,0.043369036,-0.009803465,-0.040013343,1.3563249
-0.28369486,-0.023994947,-0.4419432,-0.06059719,-0.04367675,-0.031817432,-0.02725074,0.04805868,0.002212158,-0.012123594,0.043284617,-0.009938634,-0.040023033,1.3563302
-0.3104736,-0.039420255,-0.37353468,-0.06266156,-0.060868848,-0.039434187,-0.030817185,0.047420915,0.0026236298,-0.011807598,0.04319928,-0.01007386,-0.04003273,1.3563352
-0.07601055,-0.029158555,-0.21899286,-0.034323025,-0.07515842,-0.046619732,-0.034145627,0.046713527,0.0030177385,-0.011491367,0.043113004,-0.010209168,-0.04004242,1.3563404
0.084865935,0.0032347485,0.025233382,0.020844854,-0.084384024,-0.05295813,-0.03721569,0.045936704,0.0033942272,-0.011174909,0.043025803,-0.010344552,-0.040052112,1.3563457
0.3135712,0.025273124,0.30053815,0.06017743,-0.08741709,-0.05787939,-0.039982077,0.045090895,0.0037528405,-0.010858285,0.042937715,-0.010479987,-0.04006181,1.3563507
0.4998761,0.019352393,0.41889983,0.06305927,-0.086952485,-0.0608998,-0.042392686,0.04417615,0.004093461,-0.010541523,0.042848412,-0.010615504,-0.0400715,1.3563559
0.36142227,0.008253847,0.42587554,0.055129923,-0.08591798,-0.061616,-0.04440605,0.043191917,0.00441588,-0.010224681,0.042758197,-0.010751084,-0.04008119,1.3563612
0.16074128,-0.0018933656,0.28364965,0.042260237,-0.08408772,-0.059858825,-0.04599914,0.042136587,0.0047200266,-0.009910924,0.042667087,-0.010886724,-0.040090896,1.3563662
-0.043190133,-0.00029224387,0.10640852,0.023603376,-0.07877336,-0.055795435,-0.047150366,0.04100897,0.0050058076,-0.009597724,0.042575106,-0.011022456,-0.04010059,1.3563714
-0.17133062,0.0009634949,-0.11662651,-0.011789919,-0.06848592,-0.049638677,-0.047875833,0.039808705,0.0052729906,-0.009284612,0.042482253,-0.0111582335,-0.040110286,1.3563766
-0.28131258,-0.0040619965,-0.30570984,-0.048697542,-0.05223501,-0.041770674,-0.0481425,0.03853694,0.005521342,-0.008971726,0.04238853,-0.011294087,-0.040119987,1.3563817
-0.3245352,-0.0144585855,-0.43036473,-0.065082535,-0.030246153,-0.032881547,-0.047932025,0.037195552,0.0057507455,-0.008659014,0.04229397,-0.011430011,-0.040129688,1.3563869
-0.2931603,-0.021648193,-0.43893656,-0.056934167,-0.0032586379,-0.023605451,-0.04724048,0.03578755,0.005960968,-0.008346633,0.042198583,-0.011565987,-0.04013939,1.3563921
-0.20390745,-0.012698337,-0.30162987,-0.03484915,0.025050038,-0.014386251,-0.04605098,0.034315165,0.0061453204,-0.0080345655,0.042102374,-0.011702026,-0.04014909,1.3563974
-0.0039482685,0.0036457016,-0.06876647,0.0035622306,0.05254652,-0.005624558,-0.04434655,0.03278044,0.0063057835,-0.007722829,0.042005353,-0.011838135,-0.040158797,1.3564024
0.28688625,0.018805621,0.1434985,0.051746503,0.07609208,0.0022395884,-0.042104498,0.031185502,0.0064467867,-0.0074114236,0.041907553,-0.011974309,-0.040168498,1.3564076
0.3967049,0.023664188,0.3528217,0.06907964,0.094603084,0.008798808,-0.039305028,0.029532902,0.0065683983,-0.0071003665,0.04180895,-0.01211054,-0.040178202,1.3564129
0.49675363,0.008055526,0.42240757,0.05626799,0.106297076,0.013510119,-0.03594652,0.027826734,0.0066708527,-0.0067896754,0.041709594,-0.012246829,-0.040187914,1.3564181
0.44314697,0.0072092838,0.4070918,0.05700821,0.10818187,0.016259836,-0.032062005,0.02607244,0.0067544756,-0.0064793155,0.041609466,-0.012383199,-0.04019762,1.3564233
0.2562211,0.013010819,0.23915689,0.06390934,0.09850902,0.01728644,-0.02770947,0.024275592,0.0068197562,-0.006169269,0.04150858,-0.012519629,-0.040207326,1.3564284
0.11367423,0.009385078,0.031692497,0.03578208,0.07758171,0.016823249,-0.022956,0.022442216,0.0068636886,-0.005859536,0.04140697,-0.012656115,-0.040217035,1.3564336
-0.028146658,0.0024365783,-0.11449706,-0.025039686,0.049740437,0.015084609,-0.017893145,0.020578647,0.0068844547,-0.0055500995,0.041304618,-0.012792671,-0.040226746,1.3564388
-0.1646602,0.00074356236,-0.25393972,-0.07093107,0.020127501,0.0123582985,-0.012626584,0.018691296,0.0068877875,-0.005240872,0.04119929,-0.012929274,-0.04023646,1.3564439
-0.29136172,-0.0007466077,-0.3945358,-0.07849144,-0.00678765,0.009000723,-0.0072069634,0.016785452,0.006873897,-0.004931888,0.041092955,-0.0130659295,-0.04024617,1.3564491
-0.3217997,-0.0059999493,-0.4289028,-0.06261894,-0.029905492,0.0051414142,-0.0017292243,0.014864906,0.006843179,-0.0046231137,0.0409859,-0.013202665,-0.04025588,1.3564544
-0.2952906,-0.009507156,-0.38193104,-0.029752927,-0.048426766,0.0010102254,0.0037285278,0.012929886,0.0067961006,-0.00431453,0.040878117,-0.013339454,-0.04026559,1.3564594
-0.1781282,-0.0010867293,-0.18172453,-0.0038280517,-0.060256552,-0.0031055228,0.009107679,0.0109901605,0.0067329872,-0.0040061213,0.04076962,-0.013476307,-0.04027531,1.3564646
0.066231824,0.010970416,0.09022702,0.021124287,-0.06494201,-0.00686855,0.0143415155,0.009050919,0.0066543054,-0.0036978696,0.04066043,-0.013613223,-0.04028502,1.3564699
0.28467324,0.019540928,0.33252499,0.05282619,-0.06379124,-0.009800006,0.019379186,0.0071171965,0.0065604276,-0.003389966,0.04055053,-0.013750192,-0.04029474,1.3564749
0.36410907,0.025864678,0.47004595,0.07840635,-0.059157487,-0.011532997,0.024182841,0.0051934966,0.006451704,-0.0030822367,0.040439956,-0.013887236,-0.040304456,1.3564801
0.42862815,0.020439459,0.43352932,0.08665962,-0.05331258,-0.011881286,0.028713468,0.003284295,0.0063286703,-0.0027746642,0.04032861,-0.014024327,-0.040314175,1.3564854
0.22813602,0.010036049,0.32107055,0.070272595,-0.047981776,-0.010929283,0.032921508,0.0013936111,0.006191956,-0.002467266,0.04021655,-0.014161487,-0.0403239,1.3564905
0.092216864,-0.008123884,0.14809756,0.033049054,-0.04337085,-0.008905385,0.036837652,-0.000474409,0.0060424,-0.0021600246,0.040103827,-0.0142987,-0.04033362,1.3564957
-0.029256444,-0.016604945,-0.07671316,-0.010995589,-0.038700752,-0.0059755025,0.040461123,-0.0023152377,0.005880818,-0.0018529573,0.03999042,-0.014435982,-0.040343337,1.3565009
