Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/7,22:00,3.2,13,4.2,23.4,1013.9,0.08
2022/1/7,23:00,4.1,14,5.4,23.7,1012.9,0.06
2022/1/8,0:00,3.9,17,5.2,23.8,1012.2,0.125
2022/1/8,1:00,4.6,10,5.5,23.6,1011.6,0.224
2022/1/8,2:00,4.4,14,5.5,23.6,1011.5,0.378
2022/1/8,3:00,4.8,12,5.3,23.6,1011.9,0.531
2022/1/8,4:00,3,31,3.7,23.6,1012.2,0.624
2022/1/8,5:00,2.5,355,3.8,23.6,1012.9,0.726
2022/1/8,6:00,2.4,349,2.9,22.7,1013.5,0.776
2022/1/8,7:00,2.6,346,3.2,22.3,1014.2,0.73
2022/1/8,8:00,0.9,205,1.1,21.8,1014.4,0.649
2022/1/8,9:00,0.8,332,1.1,21.3,1014.4,0.555
2022/1/8,10:00,1,170,1.2,21.2,1014.1,0.464
2022/1/8,11:00,0.7,179,0.9,20.7,1013.9,0.361
2022/1/8,12:00,0.8,173,0.9,20.1,1013.4,0.255
2022/1/8,13:00,0.4,198,0.6,19.8,1012.9,0.225
2022/1/8,14:00,1.2,191,1.4,19.4,1012.7,0.231
2022/1/8,15:00,0.8,237,1.3,19.3,1012.5,0.233
2022/1/8,16:00,0.4,164,0.6,19,1012.8,0.295
2022/1/8,17:00,0.9,169,1.1,18.8,1013.5,0.321
2022/1/8,18:00,0.5,125,0.7,20.1,1014.2,0.35
2022/1/8,19:00,1.9,76,2.3,22.4,1014.9,0.35
2022/1/8,20:00,2.1,62,3.5,23.4,1015.3,0.311
2022/1/8,21:00,3.4,44,4.2,23.1,1014.9,0.266
2022/1/8,22:00,3.1,39,4.1,23.2,1013.8,0.232
2022/1/8,23:00,3.9,38,5,23.3,1012.9,0.177
2022/1/9,0:00,4.7,12,5.4,23.5,1012,0.186
2022/1/9,1:00,4.2,12,4.9,23.7,1011.7,0.23
2022/1/9,2:00,4.5,24,5,23.7,1012,0.335
2022/1/9,3:00,3.4,23,4.3,23.8,1012.5,0.432
2022/1/9,4:00,2.9,26,3.5,23.6,1013,0.537
2022/1/9,5:00,2.4,16,3.1,23.7,1013.8,0.58
2022/1/9,6:00,1.3,136,1.7,22.8,1014.2,0.65
2022/1/9,7:00,1.6,144,2.1,22,1014.7,0.656
2022/1/9,8:00,0.7,312,0.9,21.9,1014.9,0.648
2022/1/9,9:00,1.4,181,1.7,19.8,1014.2,0.558
2022/1/9,10:00,1.4,155,1.8,19.1,1013.8,0.467
2022/1/9,11:00,1.3,194,1.5,18.2,1013.7,0.37
2022/1/9,12:00,1.4,191,1.7,17.4,1013.2,0.318
2022/1/9,13:00,1.1,181,1.4,18,1013,0.222
2022/1/9,14:00,1,205,1.8,17.5,1012.6,0.23
2022/1/9,15:00,1.1,159,1.6,17.4,1013,0.242
2022/1/9,16:00,1.4,176,1.6,16.6,1013.4,0.273
